Cluster Name,Observational Half-Light Radius,Central Surface Brightness,Central Velocity Dispersion,Total V-band luminosity,Half-Mass Relaxation Time,Observational Core Radius,Black Holes
NGC104,4.149520396,64394.7,11,501187.2688,3548.134,0.471238917,FALSE
NGC288,5.773258079,347.416,2.9,42854.85204,2089.296,3.495021739,TRUE
NGC362,2.051343721,43737.1,6.4,201372.4816,851.138,0.450294985,FALSE
NGC1851,1.795071159,72585.5,10.4,183653.8214,660.6934,0.316777282,FALSE
NGC2808,2.234021565,33794.8,13.4,487528.6443,1412.538,0.698131729,FALSE
NGC3201,4.41859184,913.798,5,81658.22279,1862.087,1.852957857,TRUE
NGC4590,4.524184365,1088.55,2.5,75857.74951,1862.087,1.737766141,FALSE
NGC5139,7.563093148,6868.31,16.8,1086425.853,12302.69,3.584905979,TRUE
NGC5272,6.853907675,8032.49,5.5,304789.5311,6165.95,1.097812093,FALSE
NGC5286,2.484476215,11826.3,8.1,267916.776,1288.25,0.95294976,FALSE
NGC5466,10.70468586,82.5753,1.7,52966.34532,5754.399,6.65552197,FALSE
IC4499,9.351473961,158.8,2.5,72443.60746,5370.318,4.593706261,TRUE
NGC5904,3.861540928,13330.6,5.5,285759.1648,2570.396,0.959931083,FALSE
NGC5946,2.744239415,4840.05,4,63679.54202,812.8305,0.246673204,FALSE
NGC6093,1.774418114,32873.8,12.4,167494.217,630.9573,0.43633233,FALSE
NGC6121,2.771001087,2403.53,4,64268.77512,851.138,0.742346703,FALSE
NGC6171,3.22071433,965.718,4.1,60255.95226,1000,1.04254336,FALSE
NGC6205,3.490367687,8411.05,7.1,224905.5001,1995.262,1.280489887,FALSE
NGC6218,2.471386292,2093.39,4.5,71779.42534,741.3102,1.103048161,TRUE
NGC6254,2.495820945,3025.87,6.6,83946.00013,794.3282,0.985529248,TRUE
